aggregate_trade_id,price,quantity,first_trade_id,last_trade_id,timestamp,buyer_is_maker,best_price_match
54331924,"0.31910000","0.04000000",70889040,70889040,1772814796635,false,true
54331925,"0.31910000","0.03500000",70889041,70889041,1772814796675,false,true
54331926,"0.31910000","0.04400000",70889042,70889042,1772814796682,false,true
54331927,"0.31910000","0.04000000",70889043,70889043,1772814796689,false,true
54331928,"0.31910000","0.51900000",70889044,70889044,1772814796696,false,true
54331929,"0.31910000","1.40100000",70889045,70889053,1772814796702,false,true
54331930,"0.31910000","0.79000000",70889054,70889067,1772814796709,false,true
54331931,"0.31910000","0.51900000",70889068,70889077,1772814796716,false,true
54331932,"0.31910000","0.77200000",70889078,70889079,1772814796723,false,true
54331933,"0.31910000","0.02500000",70889080,70889080,1772814796730,false,true
54331934,"0.31910000","0.04400000",70889081,70889081,1772814796736,false,true
54331935,"0.31910000","0.04400000",70889082,70889082,1772814796743,false,true
54331936,"0.31910000","0.04400000",70889083,70889083,1772814796751,false,true
54331937,"0.31910000","0.02800000",70889084,70889084,1772814796760,false,true
54331938,"0.31910000","0.02500000",70889085,70889085,1772814796766,false,true
54331939,"0.31910000","0.04400000",70889086,70889086,1772814796773,false,true
54331940,"0.31910000","0.06700000",70889087,70889087,1772814796780,false,true
54331941,"0.31910000","0.33000000",70889088,70889088,1772814796787,false,true
54331942,"0.31910000","0.04400000",70889089,70889089,1772814796794,false,true
54331943,"0.31910000","1.86900000",70889090,70889094,1772814797380,false,true
54331944,"0.31910000","0.13300000",70889095,70889097,1772814797396,false,true
54331945,"0.31920000","0.02400000",70889098,70889098,1772814799550,false,true
54331946,"0.31910000","0.20000000",70889099,70889099,1772814803151,true,true
54331947,"0.31900000","0.15800000",70889100,70889101,1772814809422,true,true
54331948,"0.31920000","0.08000000",70889102,70889102,1772814817066,false,true
54331949,"0.31920000","0.04000000",70889103,70889103,1772814817073,false,true
54331950,"0.31920000","0.04000000",70889104,70889104,1772814817079,false,true
54331951,"0.31920000","0.59500000",70889105,70889105,1772814817087,false,true
54331952,"0.31920000","0.04000000",70889106,70889106,1772814817089,false,true
54331953,"0.31920000","0.14400000",70889107,70889107,1772814817117,false,true
54331954,"0.31920000","0.07700000",70889108,70889108,1772814817126,false,true
54331955,"0.31920000","0.12000000",70889109,70889109,1772814817133,false,true
54331956,"0.31910000","0.04500000",70889110,70889110,1772814827409,true,true
54331957,"0.31920000","0.06800000",70889111,70889111,1772814850925,false,true
54331958,"0.31920000","0.01700000",70889112,70889112,1772814850933,false,true
54331959,"0.31920000","0.03600000",70889113,70889113,1772814850940,false,true
54331960,"0.31920000","0.03600000",70889114,70889114,1772814850949,false,true
54331961,"0.31920000","0.01700000",70889115,70889115,1772814850956,false,true
54331962,"0.31920000","0.04400000",70889116,70889116,1772814850962,false,true
54331963,"0.31920000","0.04400000",70889117,70889117,1772814850969,false,true
54331964,"0.31920000","0.04400000",70889118,70889118,1772814850976,false,true
54331965,"0.31920000","0.04400000",70889119,70889119,1772814850983,false,true
54331966,"0.31920000","0.04400000",70889120,70889120,1772814850990,false,true
